half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,54,54,
1,19,25,Joey Van Zegeren misses a jump shot from 10 feet out.,110222,,true,false,false,Joey,,Van Zegeren,,VaTech,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,10,8.4,5,54,54,
1,19,25,Rion Brown with a defensive rebound.,97135,,true,false,false,Rion,,Brown,,Mia-Fl,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,45,45,
1,18,47,Donnavan Kirk misses a 3-point jump shot from 25 feet out.,88217,,true,false,false,Donnavan,,Kirk,,Mia-Fl,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,-17.6,18.4,45,45,
1,18,47,Erik Swoope with an offensive rebound.,97136,,true,false,false,Erik,,Swoope,,Mia-Fl,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,45,45,
1,18,32,Rion Brown makes a 3-point jump shot from 25 feet out. Garrius Adams with the assist.,97135,88215,true,true,false,Rion,Garrius,Brown,Adams,Mia-Fl,Mia-Fl,0,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,25,15.4,20.1,45,45,
1,17,55,Ben Emelogu makes a 3-point jump shot from 25 feet out. Devin Wilson with the assist.,120764,120763,true,true,false,Ben,Devin,Emelogu,Wilson,VaTech,VaTech,3,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,25,8.9,22.9,54,54,
1,17,34,Shooting foul committed by Joey Van Zegeren.,110222,,true,false,false,Joey,,Van Zegeren,,VaTech,,3,3,0,1,1,,,,,0,,2,Shooting,8,Foul,,,,54,54,
1,17,34,Raphael Akpejiori misses free throw 1 of 2.,97134,,true,false,false,Raphael,,Akpejiori,,Mia-Fl,,3,3,0,1,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,45,45,
1,17,34,Mia-Fl with an offensive rebound.,,,false,false,false,,,,,,,3,3,0,1,0,,,,,0,,,,5,Offensive Rebound,,,,45,45,
1,17,34,Raphael Akpejiori makes free throw 2 of 2.,97134,,true,false,false,Raphael,,Akpejiori,,Mia-Fl,,3,4,0,1,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,45,45,
1,17,04,Ben Emelogu makes a 3-point jump shot from 25 feet out. Devin Wilson with the assist.,120764,120763,true,true,false,Ben,Devin,Emelogu,Wilson,VaTech,VaTech,6,4,0,1,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,25,-1.8,24.6,54,54,
1,16,42,Garrius Adams misses a 3-point jump shot from 24 feet out.,88215,,true,false,false,Garrius,,Adams,,Mia-Fl,,6,4,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-17.1,17.1,45,45,
1,16,42,Donnavan Kirk with an offensive rebound.,88217,,true,false,false,Donnavan,,Kirk,,Mia-Fl,,6,4,0,1,0,,,,,0,,,,5,Offensive Rebound,,,,45,45,
1,16,41,Shooting foul committed by Trevor Thompson.,120766,,true,false,false,Trevor,,Thompson,,VaTech,,6,4,0,2,1,,,,,0,,2,Shooting,8,Foul,,,,54,54,
1,16,41,Donnavan Kirk misses free throw 1 of 2.,88217,,true,false,false,Donnavan,,Kirk,,Mia-Fl,,6,4,0,2,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,45,45,
1,16,41,Mia-Fl with an offensive rebound.,,,false,false,false,,,,,,,6,4,0,2,0,,,,,0,,,,5,Offensive Rebound,,,,45,45,
1,16,41,Donnavan Kirk makes free throw 2 of 2.,88217,,true,false,false,Donnavan,,Kirk,,Mia-Fl,,6,5,0,2,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,45,45,
1,16,25,Trevor Thompson makes a layup shot. Devin Wilson with the assist.,120766,120763,true,true,false,Trevor,Devin,Thompson,Wilson,VaTech,VaTech,8,5,0,2,1,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,54,54,
1,16,12,Rion Brown misses a 3-point jump shot from 24 feet out.,97135,,true,false,false,Rion,,Brown,,Mia-Fl,,8,5,0,2,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,24,11,21.3,45,45,
1,16,12,Trevor Thompson with a defensive rebound.,120766,,true,false,false,Trevor,,Thompson,,VaTech,,8,5,0,2,1,,,,,2,,,,6,Defensive Rebound,,,,54,54,
1,15,46,Official TV timeout.,,,false,false,false,,,,,,,8,5,0,2,0,,,,,0,,3,Official TV,11,Timeout,,,,54,54,
1,15,39,Personal foul committed by Raphael Akpejiori.,97134,,true,false,false,Raphael,,Akpejiori,,Mia-Fl,,8,5,1,2,1,,,,,1,,1,Personal,8,Foul,,,,45,45,
1,15,28,Devin Wilson misses a jump shot from 5 feet out.,120763,,true,false,false,Devin,,Wilson,,VaTech,,8,5,1,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,5,-3.8,3.6,54,54,
1,15,28,Donnavan Kirk with a defensive rebound.,88217,,true,false,false,Donnavan,,Kirk,,Mia-Fl,,8,5,1,2,0,,,,,1,,,,6,Defensive Rebound,,,,45,45,
1,15,10,Erik Swoope misses a layup shot.,97136,,true,false,false,Erik,,Swoope,,Mia-Fl,,8,5,1,2,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,45,45,
1,15,10,Raphael Akpejiori with an offensive rebound.,97134,,true,false,false,Raphael,,Akpejiori,,Mia-Fl,,8,5,1,2,1,,,,,1,,,,5,Offensive Rebound,,,,45,45,
1,15,00,Raphael Akpejiori misses a layup shot.,97134,,true,false,false,Raphael,,Akpejiori,,Mia-Fl,,8,5,1,2,1,,,,,1,2,40,Layup Shot,4,Field Goal Missed,0,0,0,45,45,
1,15,00,Devin Wilson with a defensive rebound.,120763,,true,false,false,Devin,,Wilson,,VaTech,,8,5,1,2,0,,,,,0,,,,6,Defensive Rebound,,,,54,54,
1,14,55,Trevor Thompson misses a jump shot from 19 feet out.,120766,,true,false,false,Trevor,,Thompson,,VaTech,,8,5,1,2,1,,,,,2,2,45,Jump Shot,4,Field Goal Missed,19,9.9,16.2,54,54,
1,14,55,Rion Brown with a defensive rebound.,97135,,true,false,false,Rion,,Brown,,Mia-Fl,,8,5,1,2,0,,,,,3,,,,6,Defensive Rebound,,,,45,45,
1,14,26,Erik Swoope misses a jump shot from 7 feet out.,97136,,true,false,false,Erik,,Swoope,,Mia-Fl,,8,5,1,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,7,6.5,1.1,45,45,
1,14,26,Ben Emelogu with a defensive rebound.,120764,,true,false,false,Ben,,Emelogu,,VaTech,,8,5,1,2,0,,,,,6,,,,6,Defensive Rebound,,,,54,54,
1,14,03,Trevor Thompson with a traveling turnover: Traveling,120766,,true,false,false,Trevor,,Thompson,,VaTech,,8,5,1,2,1,,,,,2,,4,Traveling,7,Turnover,,,,54,54,
1,13,51,Manu Lecomte misses a 3-point jump shot from 23 feet out.,120602,,true,false,false,Manu,,Lecomte,,Mia-Fl,,8,5,1,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-22.2,4.2,45,45,
1,13,51,Manu Lecomte with an offensive rebound.,120602,,true,false,false,Manu,,Lecomte,,Mia-Fl,,8,5,1,2,0,,,,,0,,,,5,Offensive Rebound,,,,45,45,
1,13,33,Rion Brown misses a 3-point jump shot from 24 feet out.,97135,,true,false,false,Rion,,Brown,,Mia-Fl,,8,5,1,2,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,24,-1.4,23.9,45,45,
1,13,33,VaTech with a defensive rebound.,,,false,false,false,,,,,,,8,5,1,2,0,,,,,0,,,,6,Defensive Rebound,,,,54,54,
1,12,57,C.J. Barksdale makes a jump shot from 8 feet out.,110226,,true,false,false,C.J.,,Barksdale,,VaTech,,10,5,1,2,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,8,-.3,8.2,54,54,
1,12,39,Davon Reed misses a 3-point jump shot from 26 feet out.,120601,,true,false,false,Davon,,Reed,,Mia-Fl,,10,5,1,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,26,-18.3,18.4,45,45,
1,12,39,VaTech with a defensive rebound.,,,false,false,false,,,,,,,10,5,1,2,0,,,,,0,,,,6,Defensive Rebound,,,,54,54,
1,12,37,Personal foul committed by Tonye Jekiri.,117672,,true,false,false,Tonye,,Jekiri,,Mia-Fl,,10,5,2,2,1,,,,,0,,1,Personal,8,Foul,,,,45,45,
