half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,297,297,
1,19,39,D'Angelo Scott misses a jump shot from 8 feet out.,122093,,true,false,false,D'Angelo,,Scott,,TxSo,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,8,1.1,8.2,297,297,
1,19,39,Aaric Murray with an offensive rebound.,88914,,true,false,false,Aaric,,Murray,,TxSo,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,297,297,
1,19,37,Aaric Murray makes a dunk shot.,88914,,true,false,false,Aaric,,Murray,,TxSo,,2,0,0,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,297,297,
1,19,18,Personal foul committed by D.D. Scarver.,116258,,true,false,false,D.D.,,Scarver,,TxSo,,2,0,0,1,1,,,,,0,,1,Personal,8,Foul,,,,297,297,
1,19,13,Dave Nwaba makes a layup shot.,121124,,true,false,false,Dave,,Nwaba,,CalPly,,2,2,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,95,95,
1,19,02,Aaric Murray makes a dunk shot. D'Angelo Scott with the assist.,88914,122093,true,true,false,Aaric,D'Angelo,Murray,Scott,TxSo,TxSo,4,2,0,1,0,,,,,4,2,48,Dunk Shot,3,Field Goal Made,0,0,0,297,297,
1,18,42,Joel Awich misses a jump shot from 13 feet out.,110955,,true,false,false,Joel,,Awich,,CalPly,,4,2,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,13,13,3.5,95,95,
1,18,42,Lawrence Johnson-Danner with a defensive rebound.,89529,,true,false,false,Lawrence,,Johnson-Danner,,TxSo,,4,2,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,297,297,
1,18,23,Aaric Murray with a traveling turnover: Traveling,88914,,true,false,false,Aaric,,Murray,,TxSo,,4,2,0,1,0,,,,,4,,4,Traveling,7,Turnover,,,,297,297,
1,18,05,Dave Nwaba misses a jump shot from 7 feet out.,121124,,true,false,false,Dave,,Nwaba,,CalPly,,4,2,0,1,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,7,1.8,6.4,95,95,
1,18,05,D'Angelo Scott with a defensive rebound.,122093,,true,false,false,D'Angelo,,Scott,,TxSo,,4,2,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,297,297,
1,17,57,Aaric Murray makes a dunk shot. Ray Penn Jr. with the assist.,88914,88713,true,true,false,Aaric,Ray,Murray,Penn Jr.,TxSo,TxSo,6,2,0,1,0,,,,,6,2,48,Dunk Shot,3,Field Goal Made,0,0,0,297,297,
1,17,41,Chris Eversley makes a jump shot from 18 feet out. Jamal Johnson with the assist.,88388,97554,true,true,false,Chris,Jamal,Eversley,Johnson,CalPly,CalPly,6,4,0,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,18,-4,17.4,95,95,
1,17,13,Aaric Murray misses a 3-point jump shot from 23 feet out.,88914,,true,false,false,Aaric,,Murray,,TxSo,,6,4,0,1,0,,,,,6,3,45,Jump Shot,4,Field Goal Missed,23,-22.4,3.1,297,297,
1,17,13,D'Angelo Scott with an offensive rebound.,122093,,true,false,false,D'Angelo,,Scott,,TxSo,,6,4,0,1,0,,,,,0,,,,5,Offensive Rebound,,,,297,297,
1,17,07,D'Angelo Scott makes a layup shot.,122093,,true,false,false,D'Angelo,,Scott,,TxSo,,8,4,0,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,297,297,
1,16,50,Dave Nwaba makes a jump shot from 9 feet out.,121124,,true,false,false,Dave,,Nwaba,,CalPly,,8,6,0,1,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,9,2.1,8.2,95,95,
1,16,31,Ray Penn Jr. with a lost ball turnover: Lost Ball,88713,,true,false,false,Ray,,Penn Jr.,,TxSo,,8,6,0,1,0,,,,,0,,2,Lost Ball,7,Turnover,,,,297,297,
1,16,24,Chris Eversley misses a jump shot from 16 feet out.,88388,,true,false,false,Chris,,Eversley,,CalPly,,8,6,0,1,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,16,15.4,5.7,95,95,
1,16,24,Dave Nwaba with an offensive rebound.,121124,,true,false,false,Dave,,Nwaba,,CalPly,,8,6,0,1,0,,,,,4,,,,5,Offensive Rebound,,,,95,95,
1,16,24,Dave Nwaba makes a layup shot.,121124,,true,false,false,Dave,,Nwaba,,CalPly,,8,8,0,1,0,,,,,6,2,40,Layup Shot,3,Field Goal Made,0,0,0,95,95,
1,16,24,Shooting foul committed by Ray Penn Jr..,88713,,true,false,false,Ray,,Penn Jr.,,TxSo,,8,8,0,2,1,,,,,0,,2,Shooting,8,Foul,,,,297,297,
1,16,24,Dave Nwaba misses free throw 1 of 1.,121124,,true,false,false,Dave,,Nwaba,,CalPly,,8,8,0,2,0,,,,,6,1,10,Free Throw 1 of 1,2,Free Throw Missed,,,,95,95,
1,16,24,Lawrence Johnson-Danner with a defensive rebound.,89529,,true,false,false,Lawrence,,Johnson-Danner,,TxSo,,8,8,0,2,0,,,,,0,,,,6,Defensive Rebound,,,,297,297,
1,16,15,Jose Rodriguez makes a layup shot.,122095,,true,false,false,Jose,,Rodriguez,,TxSo,,10,8,0,2,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,297,297,
1,16,03,Dave Nwaba misses a jump shot from 15 feet out.,121124,,true,false,false,Dave,,Nwaba,,CalPly,,10,8,0,2,0,,,,,6,2,45,Jump Shot,4,Field Goal Missed,15,-14,5,95,95,
1,16,03,Jose Rodriguez with a defensive rebound.,122095,,true,false,false,Jose,,Rodriguez,,TxSo,,10,8,0,2,0,,,,,2,,,,6,Defensive Rebound,,,,297,297,
1,15,58,Dave Nwaba makes a jump shot from 10 feet out.,121124,,true,false,false,Dave,,Nwaba,,CalPly,,10,10,0,2,0,,,,,8,2,45,Jump Shot,3,Field Goal Made,10,5.4,7.9,95,95,
1,15,51,Ray Penn Jr. misses a 3-point jump shot from 24 feet out.,88713,,true,false,false,Ray,,Penn Jr.,,TxSo,,10,10,0,2,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,.9,24.4,297,297,
1,15,51,Chris Eversley with a defensive rebound.,88388,,true,false,false,Chris,,Eversley,,CalPly,,10,10,0,2,0,,,,,2,,,,6,Defensive Rebound,,,,95,95,
1,15,05,Shooting foul committed by Jamal Johnson.,97554,,true,false,false,Jamal,,Johnson,,CalPly,,10,10,1,2,1,,,,,0,,2,Shooting,8,Foul,,,,95,95,
1,15,05,Official TV timeout.,,,false,false,false,,,,,,,10,10,1,2,0,,,,,0,,3,Official TV,11,Timeout,,,,297,297,
1,15,05,Jose Rodriguez makes free throw 1 of 2.,122095,,true,false,false,Jose,,Rodriguez,,TxSo,,11,10,1,2,0,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,297,297,
1,15,05,Jose Rodriguez makes free throw 2 of 2.,122095,,true,false,false,Jose,,Rodriguez,,TxSo,,12,10,1,2,0,,,,,4,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,297,297,
1,14,49,Chris Eversley makes a 3-point jump shot from 24 feet out. Brian Bennett with the assist.,88388,116213,true,true,false,Chris,Brian,Eversley,Bennett,CalPly,CalPly,12,13,1,2,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,24,19.1,14.5,95,95,
1,14,26,Aaric Murray makes a jump shot from 9 feet out. Madarious Gibbs with the assist.,88914,111432,true,true,false,Aaric,Madarious,Murray,Gibbs,TxSo,TxSo,14,13,1,2,0,,,,,8,2,45,Jump Shot,3,Field Goal Made,9,6,7,297,297,
1,14,15,Kyle Odister makes a 3-point jump shot from 24 feet out. Ridge Shipley with the assist.,89029,121127,true,true,false,Kyle,Ridge,Odister,Shipley,CalPly,CalPly,14,16,1,2,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-23,6.4,95,95,
1,13,47,Aaric Murray makes a 3-point jump shot from 23 feet out. Madarious Gibbs with the assist.,88914,111432,true,true,false,Aaric,Madarious,Murray,Gibbs,TxSo,TxSo,17,16,1,2,0,,,,,11,3,45,Jump Shot,3,Field Goal Made,23,22.5,5.5,297,297,
1,13,24,Brian Bennett makes a layup shot. Dave Nwaba with the assist.,116213,121124,true,true,false,Brian,Dave,Bennett,Nwaba,CalPly,CalPly,17,18,1,2,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,95,95,
1,13,08,D'Angelo Scott misses a jump shot from 9 feet out.,122093,,true,false,false,D'Angelo,,Scott,,TxSo,,17,18,1,2,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,9,3,8.1,297,297,
1,13,08,Dave Nwaba with a defensive rebound.,121124,,true,false,false,Dave,,Nwaba,,CalPly,,17,18,1,2,0,,,,,8,,,,6,Defensive Rebound,,,,95,95,
1,12,58,Brian Bennett makes a jump shot from 7 feet out.,116213,,true,false,false,Brian,,Bennett,,CalPly,,17,20,1,2,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,7,.3,7.2,95,95,
1,12,47,Personal foul committed by Brian Bennett.,116213,,true,false,false,Brian,,Bennett,,CalPly,,17,20,2,2,1,,,,,4,,1,Personal,8,Foul,,,,95,95,
1,12,29,Aaric Murray makes a layup shot. Madarious Gibbs with the assist.,88914,111432,true,true,false,Aaric,Madarious,Murray,Gibbs,TxSo,TxSo,19,20,2,2,0,,,,,13,2,40,Layup Shot,3,Field Goal Made,0,0,0,297,297,
1,12,04,Brian Bennett makes a jump shot from 11 feet out.,116213,,true,false,false,Brian,,Bennett,,CalPly,,19,22,2,2,1,,,,,6,2,45,Jump Shot,3,Field Goal Made,11,-7.4,7.7,95,95,
1,11,37,Madarious Gibbs misses a jump shot from 13 feet out.,111432,,true,false,false,Madarious,,Gibbs,,TxSo,,19,22,2,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,13,-11.3,6.4,297,297,
1,11,37,Ridge Shipley with a defensive rebound.,121127,,true,false,false,Ridge,,Shipley,,CalPly,,19,22,2,2,0,,,,,0,,,,6,Defensive Rebound,,,,95,95,
1,11,25,Michael Bolden misses a layup shot.,121129,,true,false,false,Michael,,Bolden,,CalPly,,19,22,2,2,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,95,95,
1,11,25,Madarious Gibbs with a defensive rebound.,111432,,true,false,false,Madarious,,Gibbs,,TxSo,,19,22,2,2,0,,,,,0,,,,6,Defensive Rebound,,,,297,297,
1,11,18,Personal foul committed by Brian Bennett.,116213,,true,false,false,Brian,,Bennett,,CalPly,,19,22,3,2,2,,,,,6,,1,Personal,8,Foul,,,,95,95,
1,11,18,Official TV timeout.,,,false,false,false,,,,,,,19,22,3,2,0,,,,,0,,3,Official TV,11,Timeout,,,,297,297,
1,11,11,D.D. Scarver misses a 3-point jump shot from 25 feet out.,116258,,true,false,false,D.D.,,Scarver,,TxSo,,19,22,3,2,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,19,15.7,297,297,
1,11,11,D'Angelo Scott with an offensive rebound.,122093,,true,false,false,D'Angelo,,Scott,,TxSo,,19,22,3,2,0,,,,,2,,,,5,Offensive Rebound,,,,297,297,
1,10,54,Lawrence Johnson-Danner with a out of bounds turnover: Out of Bounds,89529,,true,false,false,Lawrence,,Johnson-Danner,,TxSo,,19,22,3,2,0,,,,,0,,3,Out of Bounds,7,Turnover,,,,297,297,
1,10,26,Ridge Shipley makes a 3-point jump shot from 26 feet out. Maliik Love with the assist.,121127,97555,true,true,false,Ridge,Maliik,Shipley,Love,CalPly,CalPly,19,25,3,2,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,26,-14.5,21.3,95,95,
1,10,02,Aaric Murray misses a jump shot from 13 feet out.,88914,,true,false,false,Aaric,,Murray,,TxSo,,19,25,3,2,0,,,,,13,2,45,Jump Shot,4,Field Goal Missed,13,-11.6,6,297,297,
1,10,02,Lawrence Johnson-Danner with an offensive rebound.,89529,,true,false,false,Lawrence,,Johnson-Danner,,TxSo,,19,25,3,2,0,,,,,0,,,,5,Offensive Rebound,,,,297,297,
1,9,48,Aaric Murray misses a 3-point jump shot from 24 feet out.,88914,,true,false,false,Aaric,,Murray,,TxSo,,19,25,3,2,0,,,,,13,3,45,Jump Shot,4,Field Goal Missed,24,16.4,18.1,297,297,
1,9,48,Zach Gordon with a defensive rebound.,116214,,true,false,false,Zach,,Gordon,,CalPly,,19,25,3,2,0,,,,,0,,,,6,Defensive Rebound,,,,95,95,
1,9,25,Maliik Love misses a jump shot from 11 feet out.,97555,,true,false,false,Maliik,,Love,,CalPly,,19,25,3,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,11,-7.7,7.2,95,95,
1,9,25,TxSo with a defensive rebound.,,,false,false,false,,,,,,,19,25,3,2,0,,,,,0,,,,6,Defensive Rebound,,,,297,297,
1,9,07,Personal foul committed by Zach Gordon.,116214,,true,false,false,Zach,,Gordon,,CalPly,,19,25,4,2,1,,,,,0,,1,Personal,8,Foul,,,,95,95,
1,8,59,Lawrence Johnson-Danner makes a 3-point jump shot from 25 feet out.,89529,,true,false,false,Lawrence,,Johnson-Danner,,TxSo,,22,25,4,2,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,25,-23,9.3,297,297,
1,8,36,Ridge Shipley misses a 3-point jump shot from 27 feet out.,121127,,true,false,false,Ridge,,Shipley,,CalPly,,22,25,4,2,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,27,-11.5,24.2,95,95,
1,8,36,Zach Gordon with an offensive rebound.,116214,,true,false,false,Zach,,Gordon,,CalPly,,22,25,4,2,1,,,,,0,,,,5,Offensive Rebound,,,,95,95,
1,8,33,Personal foul committed by Aaric Murray.,88914,,true,false,false,Aaric,,Murray,,TxSo,,22,25,4,3,1,,,,,13,,1,Personal,8,Foul,,,,297,297,
1,8,11,Reese Morgan misses a jump shot from 16 feet out.,109558,,true,false,false,Reese,,Morgan,,CalPly,,22,25,4,3,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,16,11.8,11.5,95,95,
1,8,11,Zach Gordon with an offensive rebound.,116214,,true,false,false,Zach,,Gordon,,CalPly,,22,25,4,3,1,,,,,0,,,,5,Offensive Rebound,,,,95,95,
1,8,07,Shooting foul committed by D.D. Scarver.,116258,,true,false,false,D.D.,,Scarver,,TxSo,,22,25,4,4,2,,,,,0,,2,Shooting,8,Foul,,,,297,297,
1,8,07,Zach Gordon makes free throw 1 of 2.,116214,,true,false,false,Zach,,Gordon,,CalPly,,22,26,4,4,1,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,95,95,
1,8,07,Zach Gordon makes free throw 2 of 2.,116214,,true,false,false,Zach,,Gordon,,CalPly,,22,27,4,4,1,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,95,95,
1,7,53,Jose Rodriguez misses a hook shot from 6 feet out.,122095,,true,false,false,Jose,,Rodriguez,,TxSo,,22,27,4,4,0,,,,,4,2,55,Hook Shot,4,Field Goal Missed,6,.8,6,297,297,
1,7,53,TxSo with an offensive rebound.,,,false,false,false,,,,,,,22,27,4,4,0,,,,,0,,,,5,Offensive Rebound,,,,297,297,
1,7,51,Official TV timeout.,,,false,false,false,,,,,,,22,27,4,4,0,,,,,0,,3,Official TV,11,Timeout,,,,297,297,
1,7,38,Shooting foul committed by Jamal Johnson.,97554,,true,false,false,Jamal,,Johnson,,CalPly,,22,27,5,4,2,,,,,0,,2,Shooting,8,Foul,,,,95,95,
1,7,38,Jose Rodriguez makes free throw 1 of 2.,122095,,true,false,false,Jose,,Rodriguez,,TxSo,,23,27,5,4,0,,,,,5,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,297,297,
1,7,38,Jose Rodriguez makes free throw 2 of 2.,122095,,true,false,false,Jose,,Rodriguez,,TxSo,,24,27,5,4,0,,,,,6,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,297,297,
