half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,75,75,
1,19,38,Glenn Robinson III makes a layup shot.,116741,,true,false,false,Glenn,,Robinson III,,Mich,,2,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,75,75,
1,19,12,Antonio Barton makes a 3-point jump shot from 24 feet out. Jeronne Maymon with the assist.,97319,88277,true,true,false,Antonio,Jeronne,Barton,Maymon,Tenn,Tenn,2,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-9,22,263,263,
1,18,46,Caris LeVert with a bad pass turnover: Bad Pass,116745,,true,false,false,Caris,,LeVert,,Mich,,2,3,0,0,0,,,,,0,,1,Bad Pass,7,Turnover,,,,75,75,
1,18,27,Jordan McRae makes a jump shot from 16 feet out.,97525,,true,false,false,Jordan,,McRae,,Tenn,,2,5,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,16,15.3,5.7,263,263,
1,18,06,Nik Stauskas misses a layup shot.,116744,,true,false,false,Nik,,Stauskas,,Mich,,2,5,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,75,75,
1,18,06,Mich with an offensive rebound.,,,false,false,false,,,,,,,2,5,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,75,75,
1,17,56,Caris LeVert makes a 3-point jump shot from 23 feet out. Derrick Walton Jr. with the assist.,116745,120655,true,true,false,Caris,Derrick,LeVert,Walton Jr.,Mich,Mich,5,5,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-21.6,6.6,75,75,
1,17,33,Jeronne Maymon misses a layup shot.,88277,,true,false,false,Jeronne,,Maymon,,Tenn,,5,5,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,263,263,
1,17,33,Mich with a defensive rebound.,,,false,false,false,,,,,,,5,5,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,75,75,
